DATAFLOW,LAST UPDATE,freq,unit,deg_urb,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,AL,2017,8.7,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,AL,2018,7.6,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,AL,2019,6.8,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,AL,2020,4.5,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,AL,2021,3.7,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,AT,2004,11.4,u
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,AT,2005,6.7,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,AT,2006,7.5,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,AT,2007,8.6,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,AT,2008,9.9,b
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,AT,2009,9.2,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,AT,2010,11.3,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,AT,2011,10.0,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,AT,2012,12.2,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,AT,2013,12.2,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,AT,2014,12.2,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,AT,2015,12.1,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,AT,2016,12.5,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,AT,2017,11.3,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,AT,2018,11.6,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,AT,2019,12.2,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,AT,2020,10.7,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,AT,2021,9.9,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,AT,2022,12.6,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,BE,2004,14.6,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,BE,2005,10.8,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,BE,2006,12.4,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,BE,2007,12.2,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,BE,2008,13.9,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,BE,2009,10.3,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,BE,2010,10.9,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,BE,2011,13.5,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,BE,2012,17.0,b
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,BE,2013,15.4,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,BE,2014,15.6,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,BE,2015,14.3,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,BE,2016,16.2,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,BE,2017,15.2,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,BE,2018,14.6,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,BE,2019,13.1,b
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,BE,2020,11.8,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,BE,2021,12.4,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,BE,2022,12.1,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,BG,2006,15.1,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,BG,2007,22.9,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,BG,2008,15.1,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,BG,2009,6.8,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,BG,2010,5.3,
ESTAT:ILC_LVHO07D(1.0),15/12/23 23:00:00,A,PC,DEG1,BG,2011,8.6,
