DATAFLOW,LAST UPDATE,freq,incgrp,building,deg_urb,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,AL,2017,33.3,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,AL,2018,33.8,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,AL,2019,33.9,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,AL,2020,35.6,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,AL,2021,37.4,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,AT,2003,17.2,u
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,AT,2004,35.1,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,AT,2005,35.4,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,AT,2006,35.8,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,AT,2007,35.4,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,AT,2008,36.5,b
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,AT,2009,35.9,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,AT,2010,35.8,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,AT,2011,36.6,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,AT,2012,30.2,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,AT,2013,29.7,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,AT,2014,29.8,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,AT,2015,29.9,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,AT,2016,30.1,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,AT,2017,30.6,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,AT,2018,31.0,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,AT,2019,31.0,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,AT,2020,30.9,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,AT,2021,31.0,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,AT,2022,31.1,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BE,2003,53.7,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BE,2004,53.3,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BE,2005,53.9,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BE,2006,53.0,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BE,2007,53.5,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BE,2008,53.0,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BE,2009,53.8,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BE,2010,54.3,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BE,2011,54.3,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BE,2012,30.0,b
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BE,2013,29.4,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BE,2014,28.8,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BE,2015,29.1,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BE,2016,28.1,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BE,2017,27.4,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BE,2018,28.0,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BE,2019,29.5,b
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BE,2020,30.0,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BE,2021,30.2,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BE,2022,29.7,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BG,2005,40.3,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BG,2006,40.3,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BG,2007,40.3,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BG,2008,39.7,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BG,2009,43.0,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BG,2010,44.2,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BG,2011,43.8,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BG,2012,42.8,b
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BG,2013,43.0,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BG,2014,39.5,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BG,2015,43.7,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BG,2016,44.3,b
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BG,2017,44.1,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BG,2018,45.3,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BG,2019,44.8,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BG,2020,44.8,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BG,2021,44.3,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,BG,2022,43.7,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,CH,2007,48.8,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,CH,2008,49.7,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,CH,2009,51.6,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,CH,2010,50.2,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,CH,2011,51.7,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,CH,2012,26.2,b
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,CH,2013,27.3,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,CH,2014,26.7,b
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,CH,2015,26.7,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,CH,2016,27.7,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,CH,2017,29.2,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,CH,2018,30.2,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,CH,2019,29.6,
ESTAT:ILC_LVHO01(1.0),15/12/23 23:00:00,A,TOTAL,TOTAL,DEG1,PC,CH,2020,30.1,
